     acronym                                                               name
          VI                                                   Abducens nucleus
       ACVII                                     Accessory facial motor nucleus
         AOB                                           Accessory olfactory bulb
       AOBgl                         Accessory olfactory bulb, glomerular layer
       AOBgr                           Accessory olfactory bulb, granular layer
       AOBmi                             Accessory olfactory bulb, mitral layer
         ASO                                         Accessory supraoptic group
        Acs5                                       Accessory trigeminal nucleus
          AI                                             Agranular insular area
         AId                                Agranular insular area, dorsal part
        AId1                       Agranular insular area, dorsal part, layer 1
      AId2/3                     Agranular insular area, dorsal part, layer 2/3
        AId5                       Agranular insular area, dorsal part, layer 5
       AId6a                      Agranular insular area, dorsal part, layer 6a
       AId6b                      Agranular insular area, dorsal part, layer 6b
         AIp                             Agranular insular area, posterior part
        AIp1                    Agranular insular area, posterior part, layer 1
      AIp2/3                  Agranular insular area, posterior part, layer 2/3
        AIp5                    Agranular insular area, posterior part, layer 5
       AIp6a                   Agranular insular area, posterior part, layer 6a
       AIp6b                   Agranular insular area, posterior part, layer 6b
         AIv                               Agranular insular area, ventral part
        AIv1                      Agranular insular area, ventral part, layer 1
      AIv2/3                    Agranular insular area, ventral part, layer 2/3
        AIv5                      Agranular insular area, ventral part, layer 5
       AIv6a                     Agranular insular area, ventral part, layer 6a
       AIv6b                     Agranular insular area, ventral part, layer 6b
          CA                                                       Ammon's horn
          AN                                                    Ansiform lobule
         AAA                                            Anterior amygdalar area
        VISa                                                      Anterior area
       VISa1                                             Anterior area, layer 1
     VISa2/3                                           Anterior area, layer 2/3
       VISa4                                             Anterior area, layer 4
       VISa5                                             Anterior area, layer 5
      VISa6a                                            Anterior area, layer 6a
      VISa6b                                            Anterior area, layer 6b
         ACA                                            Anterior cingulate area
        ACAd                               Anterior cingulate area, dorsal part
       ACAd1                      Anterior cingulate area, dorsal part, layer 1
     ACAd2/3                    Anterior cingulate area, dorsal part, layer 2/3
       ACAd5                      Anterior cingulate area, dorsal part, layer 5
      ACAd6a                     Anterior cingulate area, dorsal part, layer 6a
      ACAd6b                     Anterior cingulate area, dorsal part, layer 6b
        ACAv                              Anterior cingulate area, ventral part
      ACAv6a                          Anterior cingulate area, ventral part, 6a
      ACAv6b                          Anterior cingulate area, ventral part, 6b
       ACAv1                     Anterior cingulate area, ventral part, layer 1
     ACAv2/3                   Anterior cingulate area, ventral part, layer 2/3
